from_stop_id,from_stop_name,to_stop_id,to_stop_name,min_travel_time_seconds,line
A27S,42 St-Port Authority Bus Terminal,A28S,34 St-Penn Station,60,NA
A27N,42 St-Port Authority Bus Terminal,A25N,50 St,90,NA
A27N,42 St-Port Authority Bus Terminal,A24N,59 St-Columbus Circle,180,NA
R39N,45 St,R36N,36 St,150,NA
R39S,45 St,R40S,53 St,90,NA
G18N,46 St,G16N,Northern Blvd,90,NA
G18S,46 St,G19S,Steinway St,90,NA
714S,46 St-Bliss St,715S,40 St-Lowery St,60,NA
714N,46 St-Bliss St,713N,52 St,60,NA
D15S,47-50 Sts-Rockefeller Ctr,D16S,42 St-Bryant Pk,90,NA
D15N,47-50 Sts-Rockefeller Ctr,F12N,5 Av/53 St,150,NA
D15N,47-50 Sts-Rockefeller Ctr,B10N,57 St,90,NA
D15N,47-50 Sts-Rockefeller Ctr,D14N,7 Av,90,NA
R15N,49 St,R14N,57 St-7 Av,90,NA
R15S,49 St,R16S,Times Sq-42 St,90,NA
724N,5 Av,723N,Grand Central-42 St,60,NA
724S,5 Av,725S,Times Sq-42 St,90,NA
F12S,5 Av/53 St,D15S,47-50 Sts-Rockefeller Ctr,150,NA
F12S,5 Av/53 St,D14S,7 Av,90,NA
F12N,5 Av/53 St,F11N,Lexington Av/53 St,90,NA
R13S,5 Av/59 St,R14S,57 St-7 Av,150,NA
R13N,5 Av/59 St,R11N,Lexington Av/59 St,90,NA
A25S,50 St,A27S,42 St-Port Authority Bus Terminal,120,NA
B14S,50 St,B15S,55 St,90,NA
126N,50 St,125N,59 St-Columbus Circle,120,NA
A25N,50 St,A24N,59 St-Columbus Circle,120,NA
A25N,50 St,D14N,7 Av,90,NA
B14N,50 St,B13N,Fort Hamilton Pkwy,90,NA
126S,50 St,127S,Times Sq-42 St,90,NA
630N,51 St,629N,59 St,90,NA
630S,51 St,631S,Grand Central-42 St,120,NA
713N,52 St,712N,61 St-Woodside,90,NA
R40N,53 St,R39N,45 St,90,NA
R40S,53 St,R41S,59 St,90,NA
B15N,55 St,B14N,50 St,90,NA
B15S,55 St,B16S,62 St,90,NA
B10S,57 St,D15S,47-50 Sts-Rockefeller Ctr,90,NA
B10N,57 St,B08N,Lexington Av/63 St,150,NA
R14S,57 St-7 Av,R15S,49 St,90,NA
R14N,57 St-7 Av,R13N,5 Av/59 St,150,NA
R14N,57 St-7 Av,B08N,Lexington Av/63 St,150,NA
R14S,57 St-7 Av,R16S,Times Sq-42 St,150,NA
R41N,59 St,R36N,36 St,240,NA
629S,59 St,630S,51 St,90,NA
R41N,59 St,R40N,53 St,90,NA
629N,59 St,628N,68 St-Hunter College,90,NA
R41S,59 St,N02S,8 Av,180,NA
629N,59 St,626N,86 St,210,NA
R41S,59 St,R42S,Bay Ridge Av,120,NA
629S,59 St,631S,Grand Central-42 St,150,NA
A24N,59 St-Columbus Circle,A15N,125 St,420,NA
A24S,59 St-Columbus Circle,A27S,42 St-Port Authority Bus Terminal,150,NA
125S,59 St-Columbus Circle,126S,50 St,120,NA
A24S,59 St-Columbus Circle,A25S,50 St,90,NA
125N,59 St-Columbus Circle,124N,66 St-Lincoln Center,90,NA
A24S,59 St-Columbus Circle,D14S,7 Av,90,NA
A24N,59 St-Columbus Circle,A22N,72 St,90,NA
L02S,6 Av,L03S,14 St-Union Sq,90,NA
L02N,6 Av,L01N,8 Av,60,NA
712S,61 St-Woodside,714S,46 St-Bliss St,150,NA
712N,61 St-Woodside,711N,69 St,90,NA
B16N,62 St,B15N,55 St,90,NA
B16S,62 St,B17S,71 St,120,NA
B16S,62 St,B21S,Bay Pkwy,330,NA
G10N,63 Dr-Rego Park,G09N,67 Av,90,NA
G10S,63 Dr-Rego Park,G11S,Woodhaven Blvd,60,NA
G15N,65 St,G14N,Jackson Hts-Roosevelt Av,90,NA
G15S,65 St,G16S,Northern Blvd,90,NA
124S,66 St-Lincoln Center,125S,59 St-Columbus Circle,90,NA
124N,66 St-Lincoln Center,123N,72 St,60,NA
G09S,67 Av,G10S,63 Dr-Rego Park,90,NA
G09N,67 Av,G08N,Forest Hills-71 Av,90,NA
628S,68 St-Hunter College,629S,59 St,90,NA
628N,68 St-Hunter College,627N,77 St,90,NA
711N,69 St,710N,74 St-Broadway,60,NA
F24S,7 Av,F25S,15 St-Prospect Park,90,NA
F24N,7 Av,F23N,4 Av-9 St,90,NA
D14S,7 Av,D15S,47-50 Sts-Rockefeller Ctr,90,NA
D14N,7 Av,F12N,5 Av/53 St,60,NA
D14S,7 Av,A25S,50 St,90,NA
D14N,7 Av,A24N,59 St-Columbus Circle,90,NA
D25N,7 Av,D24N,Atlantic Av-Barclays Ctr,120,NA
F24S,7 Av,F27S,Church Av,240,NA
F24N,7 Av,A41N,Jay St-MetroTech,330,NA
D25S,7 Av,D26S,Prospect Park,180,NA
B17N,71 St,B16N,62 St,120,NA
B17S,71 St,B18S,79 St,90,NA
A22S,72 St,A24S,59 St-Columbus Circle,90,NA
123S,72 St,124S,66 St-Lincoln Center,90,NA
123N,72 St,122N,79 St,90,NA
A22N,72 St,A21N,81 St-Museum of Natural History,90,NA
Q03N,72 St,Q04N,86 St,90,NA
123N,72 St,120N,96 St,150,NA
Q03S,72 St,B08S,Lexington Av/63 St,120,NA
123S,72 St,127S,Times Sq-42 St,240,NA
710S,74 St-Broadway,712S,61 St-Woodside,150,NA
710N,74 St-Broadway,709N,82 St-Jackson Hts,60,NA
710N,74 St-Broadway,707N,Junction Blvd,180,NA
F07S,75 Av,G08S,Forest Hills-71 Av,90,NA
F07N,75 Av,F06N,Kew Gardens-Union Tpke,90,NA
J17N,75 St-Elderts Ln,J16N,85 St-Forest Pkwy,90,NA
J17S,75 St-Elderts Ln,J20S,Crescent St,150,NA
J17S,75 St-Elderts Ln,J19S,Cypress Hills,60,NA
J17N,75 St-Elderts Ln,J15N,Woodhaven Blvd,180,NA
627S,77 St,628S,68 St-Hunter College,90,NA
627N,77 St,626N,86 St,90,NA
R43S,77 St,R44S,86 St,120,NA
R43N,77 St,R42N,Bay Ridge Av,90,NA
B18S,79 St,B19S,18 Av,90,NA
B18N,79 St,B17N,71 St,90,NA
122S,79 St,123S,72 St,90,NA
122N,79 St,121N,86 St,60,NA
N02N,8 Av,R41N,59 St,180,NA
L01S,8 Av,L02S,6 Av,90,NA
N02S,8 Av,N03S,Fort Hamilton Pkwy,60,NA
R21N,8 St-NYU,R20N,14 St-Union Sq,90,NA
R21S,8 St-NYU,R22S,Prince St,90,NA
A59S,80 St,A60S,88 St,60,NA
A59N,80 St,A57N,Grant Av,60,NA
A21S,81 St-Museum of Natural History,A22S,72 St,90,NA
A21N,81 St-Museum of Natural History,A20N,86 St,90,NA
709S,82 St-Jackson Hts,710S,74 St-Broadway,60,NA
709N,82 St-Jackson Hts,708N,90 St-Elmhurst Av,60,NA
J16S,85 St-Forest Pkwy,J17S,75 St-Elderts Ln,90,NA
J16S,85 St-Forest Pkwy,J19S,Cypress Hills,150,NA
J16N,85 St-Forest Pkwy,J15N,Woodhaven Blvd,90,NA
626N,86 St,621N,125 St,270,NA
626S,86 St,629S,59 St,210,NA
Q04S,86 St,Q03S,72 St,120,NA
626S,86 St,627S,77 St,90,NA
R44N,86 St,R43N,77 St,120,NA
121S,86 St,122S,79 St,60,NA
A20S,86 St,A21S,81 St-Museum of Natural History,90,NA
121N,86 St,120N,96 St,90,NA
626N,86 St,625N,96 St,120,NA
A20N,86 St,A19N,96 St,90,NA
Q04N,86 St,Q05N,96 St,60,NA
N10N,86 St,N09N,Avenue U,60,NA
R44S,86 St,R45S,Bay Ridge-95 St,90,NA
N10S,86 St,D43S,Coney Island-Stillwell Av,240,NA
A60N,88 St,A59N,80 St,60,NA
A60S,88 St,A61S,Rockaway Blvd,60,NA
B12N,9 Av,R36N,36 St,240,NA
B12S,9 Av,B16S,62 St,270,NA
B12S,9 Av,B13S,Fort Hamilton Pkwy,120,NA
708S,90 St-Elmhurst Av,709S,82 St-Jackson Hts,60,NA
708N,90 St-Elmhurst Av,707N,Junction Blvd,60,NA
120N,96 St,119N,103 St,90,NA
625N,96 St,624N,103 St,90,NA
A19N,96 St,A18N,103 St,90,NA
120S,96 St,123S,72 St,150,NA
120S,96 St,121S,86 St,120,NA
625S,96 St,626S,86 St,120,NA
A19S,96 St,A20S,86 St,90,NA
Q05S,96 St,Q04S,86 St,90,NA
120N,96 St,227N,Central Park North (110 St),240,NA
J24S,Alabama Av,J27S,Broadway Junction,90,NA
J24N,Alabama Av,J22N,Cleveland St,150,NA
J24N,Alabama Av,J23N,Van Siclen Av,60,NA
210N,Allerton Av,209N,Burke Av,60,NA
210S,Allerton Av,211S,Pelham Pkwy,120,NA
S17N,Annadale,S18N,Eltingville,120,SIR
S17S,Annadale,S16S,Huguenot,120,SIR
H01N,Aqueduct Racetrack,A61N,Rockaway Blvd,180,NA
H02N,Aqueduct-N Conduit Av,H01N,Aqueduct Racetrack,60,NA
H02S,Aqueduct-N Conduit Av,H03S,Howard Beach-JFK Airport,90,NA
S11N,Arthur Kill,S13N,Richmond Valley,120,SIR
S11S,Arthur Kill,S09S,Tottenville,180,SIR
636N,Astor Pl,635N,14 St-Union Sq,90,NA
636S,Astor Pl,637S,Bleecker St,60,NA
R03S,Astoria Blvd,R04S,30 Av,60,NA
R03N,Astoria Blvd,R01N,Astoria-Ditmars Blvd,90,NA
R01S,Astoria-Ditmars Blvd,R03S,Astoria Blvd,90,NA
L24N,Atlantic Av,L22N,Broadway Junction,90,NA
L24S,Atlantic Av,L25S,Sutter Av,90,NA
R31S,Atlantic Av-Barclays Ctr,R36S,36 St,330,NA
D24S,Atlantic Av-Barclays Ctr,D25S,7 Av,120,NA
235S,Atlantic Av-Barclays Ctr,236S,Bergen St,60,NA
R31N,Atlantic Av-Barclays Ctr,Q01N,Canal St,600,NA
D24N,Atlantic Av-Barclays Ctr,R30N,DeKalb Av,90,NA
R31N,Atlantic Av-Barclays Ctr,R30N,DeKalb Av,180,NA
235S,Atlantic Av-Barclays Ctr,239S,Franklin Av-Medgar Evers College,240,NA
R31N,Atlantic Av-Barclays Ctr,D22N,Grand St,630,NA
235N,Atlantic Av-Barclays Ctr,234N,Nevins St,90,NA
R31S,Atlantic Av-Barclays Ctr,R32S,Union St,120,NA
D32S,Avenue H,D33S,Avenue J,60,NA
D32N,Avenue H,D31N,Newkirk Plaza,60,NA
F31N,Avenue I,F30N,18 Av,60,NA
F31S,Avenue I,F32S,Bay Pkwy,60,NA
D33N,Avenue J,D32N,Avenue H,60,NA
D33S,Avenue J,D34S,Avenue M,90,NA
D34N,Avenue M,D33N,Avenue J,90,NA
D34S,Avenue M,D35S,Kings Hwy,120,NA
F33S,Avenue N,F34S,Avenue P,90,NA
F33N,Avenue N,F32N,Bay Pkwy,90,NA
F34N,Avenue P,F33N,Avenue N,90,NA
F34S,Avenue P,F35S,Kings Hwy,90,NA
N09S,Avenue U,N10S,86 St,60,NA
F36S,Avenue U,F38S,Avenue X,90,NA
D37N,Avenue U,D35N,Kings Hwy,120,NA
F36N,Avenue U,F35N,Kings Hwy,120,NA
N09N,Avenue U,N08N,Kings Hwy,90,NA
D37S,Avenue U,D38S,Neck Rd,60,NA
F38N,Avenue X,F36N,Avenue U,90,NA
F38S,Avenue X,F39S,Neptune Av,120,NA
B23N,Bay 50 St,B22N,25 Av,120,NA
B23S,Bay 50 St,D43S,Coney Island-Stillwell Av,240,NA
B21N,Bay Pkwy,B20N,20 Av,60,NA
N07N,Bay Pkwy,N06N,20 Av,90,NA
B21S,Bay Pkwy,B22S,25 Av,90,NA
F32N,Bay Pkwy,F31N,Avenue I,60,NA
F32S,Bay Pkwy,F33S,Avenue N,90,NA
N07S,Bay Pkwy,N08S,Kings Hwy,120,NA
R42N,Bay Ridge Av,R41N,59 St,120,NA
R42S,Bay Ridge Av,R43S,77 St,90,NA
R45N,Bay Ridge-95 St,R44N,86 St,90,NA
S20S,Bay Terrace,S19S,Great Kills,120,SIR
S20N,Bay Terrace,S21N,Oakwood Heights,120,SIR
502N,Baychester Av,501N,Eastchester-Dyre Av,120,NA
502S,Baychester Av,503S,Gun Hill Rd,120,NA
H14N,Beach 105 St,H13N,Beach 98 St,90,NA
H14S,Beach 105 St,H15S,Rockaway Park-Beach 116 St,90,NA
H10N,Beach 25 St,H09N,Beach 36 St,90,NA
H10S,Beach 25 St,H11S,Far Rockaway-Mott Av,90,NA
H09S,Beach 36 St,H10S,Beach 25 St,60,NA
H09N,Beach 36 St,H08N,Beach 44 St,90,NA
H08S,Beach 44 St,H09S,Beach 36 St,60,NA
H08N,Beach 44 St,H07N,Beach 60 St,120,NA
H07S,Beach 60 St,H08S,Beach 44 St,90,NA
H07N,Beach 60 St,H06N,Beach 67 St,90,NA
H06S,Beach 67 St,H07S,Beach 60 St,90,NA
H06N,Beach 67 St,H04N,Broad Channel,240,NA
H12S,Beach 90 St,H13S,Beach 98 St,90,NA
H12N,Beach 90 St,H04N,Broad Channel,210,NA
H13S,Beach 98 St,H14S,Beach 105 St,60,NA
H13N,Beach 98 St,H12N,Beach 90 St,90,NA
L08N,Bedford Av,L06N,1 Av,210,NA
L08S,Bedford Av,L10S,Lorimer St,90,NA
D03S,Bedford Park Blvd,D04S,Kingsbridge Rd,120,NA
D03N,Bedford Park Blvd,D01N,Norwood-205 St,150,NA
405S,Bedford Park Blvd-Lehman College,406S,Kingsbridge Rd,120,NA
405N,Bedford Park Blvd-Lehman College,402N,Mosholu Pkwy,90,NA
G33S,Bedford-Nostrand Avs,G34S,Classon Av,60,NA
G33N,Bedford-Nostrand Avs,G32N,Myrtle-Willoughby Avs,90,NA
236N,Bergen St,235N,Atlantic Av-Barclays Ctr,60,NA
F20S,Bergen St,F21S,Carroll St,90,NA
236S,Bergen St,237S,Grand Army Plaza,90,NA
F20N,Bergen St,A42N,Hoyt-Schermerhorn Sts,90,NA
F20N,Bergen St,A41N,Jay St-MetroTech,120,NA
D29N,Beverley Rd,D28N,Church Av,90,NA
D29S,Beverley Rd,D30S,Cortelyou Rd,30,NA
245N,Beverly Rd,244N,Church Av,90,NA
245S,Beverly Rd,246S,Newkirk Av-Little Haiti,90,NA
637N,Bleecker St,636N,Astor Pl,90,NA
637S,Bleecker St,638S,Spring St,60,NA
423N,Borough Hall,420N,Bowling Green,300,NA
232N,Borough Hall,231N,Clark St,90,NA
232S,Borough Hall,233S,Hoyt St,90,NA
423S,Borough Hall,234S,Nevins St,90,NA
S04N,Botanic Garden,S03N,Park Pl,120,NA
S04S,Botanic Garden,D26S,Prospect Park,180,NA
M19S,Bowery,M20S,Canal St,90,NA
M19N,Bowery,M18N,Delancey St-Essex St,90,NA
420S,Bowling Green,423S,Borough Hall,300,NA
420N,Bowling Green,419N,Wall St,60,NA
F05N,Briarwood,G07N,Jamaica-Van Wyck,90,NA
F05S,Briarwood,F06S,Kew Gardens-Union Tpke,90,NA
F05N,Briarwood,F04N,Sutphin Blvd,60,NA
D40S,Brighton Beach,D41S,Ocean Pkwy,120,NA
D40N,Brighton Beach,D39N,Sheepshead Bay,120,NA
H04S,Broad Channel,H06S,Beach 67 St,240,NA
H04S,Broad Channel,H12S,Beach 90 St,240,NA
H04N,Broad Channel,H03N,Howard Beach-JFK Airport,390,NA
M23N,Broad St,M22N,Fulton St,90,NA
R05N,Broadway,R04N,30 Av,90,NA
R05S,Broadway,R06S,36 Av,90,NA
G30S,Broadway,G31S,Flushing Av,60,NA
G30N,Broadway,G29N,Metropolitan Av,60,NA
J27N,Broadway Junction,J24N,Alabama Av,90,NA
L22S,Broadway Junction,L24S,Atlantic Av,60,NA
L22N,Broadway Junction,L21N,Bushwick Av-Aberdeen St,60,NA
J27S,Broadway Junction,J28S,Chauncey St,60,NA
A51S,Broadway Junction,A55S,Euclid Av,240,NA
J27S,Broadway Junction,J29S,Halsey St,150,NA
A51S,Broadway Junction,A52S,Liberty Av,120,NA
A51N,Broadway Junction,A50N,Rockaway Av,60,NA
A51N,Broadway Junction,A48N,Utica Av,180,NA
D21S,Broadway-Lafayette St,F14S,2 Av,90,NA
D21S,Broadway-Lafayette St,M18S,Delancey St-Essex St,180,NA
D21S,Broadway-Lafayette St,D22S,Grand St,120,NA
D21N,Broadway-Lafayette St,D20N,W 4 St-Wash Sq,120,NA
212S,Bronx Park East,213S,E 180 St,120,NA
212N,Bronx Park East,211N,Pelham Pkwy,120,NA
618S,Brook Av,619S,3 Av-138 St,90,NA
618N,Brook Av,617N,Cypress Av,60,NA
640N,Brooklyn Bridge-City Hall,635N,14 St-Union Sq,270,NA
640N,Brooklyn Bridge-City Hall,639N,Canal St,120,NA
640S,Brooklyn Bridge-City Hall,418S,Fulton St,90,NA
602S,Buhre Av,603S,Middletown Rd,60,NA
602N,Buhre Av,601N,Pelham Bay Park,150,NA
209S,Burke Av,210S,Allerton Av,60,NA
209N,Burke Av,208N,Gun Hill Rd,90,NA
409S,Burnside Av,410S,176 St,90,NA
409N,Burnside Av,408N,183 St,90,NA
L21S,Bushwick Av-Aberdeen St,L22S,Broadway Junction,60,NA
L21N,Bushwick Av-Aberdeen St,L20N,Wilson Av,90,NA
Q01N,Canal St,R20N,14 St-Union Sq,240,NA
Q01S,Canal St,R31S,Atlantic Av-Barclays Ctr,630,NA
M20N,Canal St,M19N,Bowery,120,NA
639S,Canal St,640S,Brooklyn Bridge-City Hall,120,NA
A34S,Canal St,A36S,Chambers St,120,NA
M20S,Canal St,M21S,Chambers St,90,NA
R23S,Canal St,R24S,City Hall,150,NA
Q01S,Canal St,R30S,DeKalb Av,450,NA
135S,Canal St,136S,Franklin St,60,NA
135N,Canal St,134N,Houston St,90,NA
Q01N,Canal St,R22N,Prince St,120,NA
R23N,Canal St,R22N,Prince St,90,NA
639N,Canal St,638N,Spring St,90,NA
A34N,Canal St,A33N,Spring St,90,NA
A34N,Canal St,A32N,W 4 St-Wash Sq,150,NA
A34S,Canal St,E01S,World Trade Center,120,NA
L29N,Canarsie-Rockaway Pkwy,L28N,East 105 St,90,NA
F21N,Carroll St,F20N,Bergen St,90,NA
F21S,Carroll St,F22S,Smith-9 Sts,90,NA
607S,Castle Hill Av,608S,Parkchester,90,NA
607N,Castle Hill Av,606N,Zerega Av,60,NA
118S,Cathedral Pkwy (110 St),119S,103 St,60,NA
A17S,Cathedral Pkwy (110 St),A18S,103 St,60,NA
A17N,Cathedral Pkwy (110 St),A16N,116 St,90,NA
118N,Cathedral Pkwy (110 St),117N,116 St-Columbia University,60,NA
M10S,Central Av,M09S,Knickerbocker Av,90,NA
M10N,Central Av,M11N,Myrtle Av,120,NA
227N,Central Park North (110 St),226N,116 St,60,NA
227S,Central Park North (110 St),120S,96 St,240,NA
137N,Chambers St,132N,14 St,240,NA
A36N,Chambers St,A34N,Canal St,90,NA
M21N,Chambers St,M20N,Canal St,90,NA
137N,Chambers St,136N,Franklin St,60,NA
A36S,Chambers St,A38S,Fulton St,120,NA
M21S,Chambers St,M22S,Fulton St,60,NA
137S,Chambers St,228S,Park Place,60,NA
137S,Chambers St,138S,WTC Cortlandt,60,NA
J28N,Chauncey St,J27N,Broadway Junction,60,NA
J28S,Chauncey St,J30S,Gates Av,150,NA
J28S,Chauncey St,J29S,Halsey St,90,NA
133N,Christopher St-Sheridan Sq,132N,14 St,90,NA
133S,Christopher St-Sheridan Sq,134S,Houston St,90,NA
F27N,Church Av,F24N,7 Av,240,NA
D28S,Church Av,D29S,Beverley Rd,90,NA
244S,Church Av,245S,Beverly Rd,90,NA
F27S,Church Av,F29S,Ditmas Av,120,NA
F27N,Church Av,F26N,Fort Hamilton Pkwy,90,NA
D28S,Church Av,D31S,Newkirk Plaza,150,NA
D28N,Church Av,D27N,Parkside Av,60,NA
D28N,Church Av,D26N,Prospect Park,120,NA
244N,Church Av,243N,Winthrop St,60,NA
R24N,City Hall,R23N,Canal St,150,NA
R24S,City Hall,R25S,Cortlandt St,120,NA
231S,Clark St,232S,Borough Hall,60,NA
231N,Clark St,230N,Wall St,180,NA
G34N,Classon Av,G33N,Bedford-Nostrand Avs,60,NA
G34S,Classon Av,G35S,Clinton-Washington Avs,90,NA
J22S,Cleveland St,J24S,Alabama Av,150,NA
J22N,Cleveland St,J20N,Crescent St,150,NA
J22N,Cleveland St,J21N,Norwood Av,60,NA
J22S,Cleveland St,J23S,Van Siclen Av,90,NA
S28S,Clifton,S27S,Grasmere,180,SIR
S28N,Clifton,S29N,Stapleton,120,SIR
G35N,Clinton-Washington Avs,G34N,Classon Av,90,NA
A44S,Clinton-Washington Avs,A45S,Franklin Av,90,NA
G35S,Clinton-Washington Avs,G36S,Fulton St,90,NA
A44N,Clinton-Washington Avs,A43N,Lafayette Av,90,NA
D43N,Coney Island-Stillwell Av,N10N,86 St,240,NA
D43N,Coney Island-Stillwell Av,B23N,Bay 50 St,210,NA
D43N,Coney Island-Stillwell Av,D42N,W 8 St-NY Aquarium,90,NA
D30N,Cortelyou Rd,D29N,Beverley Rd,30,NA
D30S,Cortelyou Rd,D31S,Newkirk Plaza,90,NA
R25N,Cortlandt St,R24N,City Hall,90,NA
R25S,Cortlandt St,R26S,Rector St,60,NA
G22S,Court Sq,G24S,21 St,60,NA
719S,Court Sq,720S,Hunters Point Av,90,NA
719N,Court Sq,718N,Queensboro Plaza,90,NA
F09S,Court Sq-23 St,F11S,Lexington Av/53 St,180,NA
F09N,Court Sq-23 St,G21N,Queens Plaza,90,NA
R28S,Court St,R29S,Jay St-MetroTech,120,NA
R28N,Court St,R27N,Whitehall St-South Ferry,210,NA
J20N,Crescent St,J17N,75 St-Elderts Ln,150,NA
J20S,Crescent St,J22S,Cleveland St,150,NA
J20N,Crescent St,J19N,Cypress Hills,90,NA
J20S,Crescent St,J21S,Norwood Av,90,NA
250N,Crown Hts-Utica Av,239N,Franklin Av-Medgar Evers College,180,NA
250N,Crown Hts-Utica Av,249N,Kingston Av,120,NA
250S,Crown Hts-Utica Av,251S,Sutter Av-Rutland Rd,150,NA
617S,Cypress Av,618S,Brook Av,60,NA
617N,Cypress Av,616N,E 143 St-St Mary's St,90,NA
J19N,Cypress Hills,J17N,75 St-Elderts Ln,60,NA
J19N,Cypress Hills,J16N,85 St-Forest Pkwy,150,NA
J19S,Cypress Hills,J20S,Crescent St,90,NA
R30S,DeKalb Av,D24S,Atlantic Av-Barclays Ctr,90,NA
R30S,DeKalb Av,R31S,Atlantic Av-Barclays Ctr,180,NA
R30N,DeKalb Av,Q01N,Canal St,450,NA
R30N,DeKalb Av,D22N,Grand St,480,NA
R30N,DeKalb Av,R29N,Jay St-MetroTech,90,NA
L16N,DeKalb Av,L15N,Jefferson St,90,NA
L16S,DeKalb Av,L17S,Myrtle-Wyckoff Avs,90,NA
F15N,Delancey St-Essex St,F14N,2 Av,90,NA
M18S,Delancey St-Essex St,M19S,Bowery,90,NA
M18N,Delancey St-Essex St,D21N,Broadway-Lafayette St,180,NA
F15S,Delancey St-Essex St,F16S,East Broadway,90,NA
M18N,Delancey St-Essex St,M16N,Marcy Av,450,NA
M18S,Delancey St-Essex St,M16S,Marcy Av,450,NA
F29S,Ditmas Av,F30S,18 Av,120,NA
F29N,Ditmas Av,F27N,Church Av,120,NA
S25S,Dongan Hills,S24S,Jefferson Av,120,SIR
S25N,Dongan Hills,S26N,Old Town,120,SIR
A03S,Dyckman St,A05S,190 St,120,NA
109S,Dyckman St,110S,191 St,90,NA
109N,Dyckman St,108N,207 St,90,NA
A03N,Dyckman St,A02N,Inwood-207 St,90,NA
616S,E 143 St-St Mary's St,617S,Cypress Av,90,NA
616N,E 143 St-St Mary's St,615N,E 149 St,60,NA
615S,E 149 St,616S,E 143 St-St Mary's St,60,NA
615N,E 149 St,614N,Longwood Av,90,NA
213S,E 180 St,221S,3 Av-149 St,720,NA
213N,E 180 St,212N,Bronx Park East,120,NA
213N,E 180 St,208N,Gun Hill Rd,480,NA
213N,E 180 St,505N,Morris Park,180,NA
213S,E 180 St,214S,West Farms Sq-E Tremont Av,90,NA
L28S,East 105 St,L29S,Canarsie-Rockaway Pkwy,90,NA
L28N,East 105 St,L27N,New Lots Av,120,NA
F16N,East Broadway,F15N,Delancey St-Essex St,60,NA
F16S,East Broadway,F18S,York St,150,NA
501S,Eastchester-Dyre Av,502S,Baychester Av,120,NA
238S,Eastern Pkwy-Brooklyn Museum,239S,Franklin Av-Medgar Evers College,90,NA
238N,Eastern Pkwy-Brooklyn Museum,237N,Grand Army Plaza,90,NA
611N,Elder Av,610N,Morrison Av-Soundview,60,NA
611S,Elder Av,612S,Whitlock Av,90,NA
G13N,Elmhurst Av,G12N,Grand Av-Newtown,90,NA
G13S,Elmhurst Av,G14S,Jackson Hts-Roosevelt Av,90,NA
S18S,Eltingville,S17S,Annadale,120,SIR
S18N,Eltingville,S19N,Great Kills,120,SIR
A55N,Euclid Av,A51N,Broadway Junction,240,NA
A55S,Euclid Av,A57S,Grant Av,90,NA
A55N,Euclid Av,A54N,Shepherd Av,90,NA
H11N,Far Rockaway-Mott Av,H10N,Beach 25 St,90,NA
247N,Flatbush Av-Brooklyn College,246N,Newkirk Av-Little Haiti,120,NA
G31N,Flushing Av,G30N,Broadway,60,NA
M12N,Flushing Av,M13N,Lorimer St,90,NA
M12S,Flushing Av,M13S,Lorimer St,90,NA
M12N,Flushing Av,M11N,Myrtle Av,60,NA
M12S,Flushing Av,M11S,Myrtle Av,60,NA
G31S,Flushing Av,G32S,Myrtle-Willoughby Avs,60,NA
701S,Flushing-Main St,702S,Mets-Willets Point,150,NA
D05S,Fordham Rd,D06S,182-183 Sts,60,NA
407S,Fordham Rd,408S,183 St,60,NA
407N,Fordham Rd,406N,Kingsbridge Rd,60,NA
D05N,Fordham Rd,D04N,Kingsbridge Rd,90,NA
D05S,Fordham Rd,D07S,Tremont Av,150,NA
M05S,Forest Av,M04S,Fresh Pond Rd,90,NA
M05N,Forest Av,M06N,Seneca Av,60,NA
G08S,Forest Hills-71 Av,G09S,67 Av,90,NA
G08N,Forest Hills-71 Av,F07N,75 Av,120,NA
G08S,Forest Hills-71 Av,G14S,Jackson Hts-Roosevelt Av,330,NA
G08N,Forest Hills-71 Av,F06N,Kew Gardens-Union Tpke,150,NA
F26N,Fort Hamilton Pkwy,F25N,15 St-Prospect Park,150,NA
B13S,Fort Hamilton Pkwy,B14S,50 St,60,NA
N03N,Fort Hamilton Pkwy,N02N,8 Av,60,NA
B13N,Fort Hamilton Pkwy,B12N,9 Av,120,NA
F26S,Fort Hamilton Pkwy,F27S,Church Av,90,NA
N03S,Fort Hamilton Pkwy,N04S,New Utrecht Av,120,NA
A45N,Franklin Av,A44N,Clinton-Washington Avs,90,NA
A45S,Franklin Av,A46S,Nostrand Av,60,NA
S01S,Franklin Av,S03S,Park Pl,120,NA
239N,Franklin Av-Medgar Evers College,235N,Atlantic Av-Barclays Ctr,240,NA
239S,Franklin Av-Medgar Evers College,250S,Crown Hts-Utica Av,210,NA
239N,Franklin Av-Medgar Evers College,238N,Eastern Pkwy-Brooklyn Museum,90,NA
239S,Franklin Av-Medgar Evers College,248S,Nostrand Av,90,NA
239S,Franklin Av-Medgar Evers College,241S,President St-Medgar Evers College,150,NA
136N,Franklin St,135N,Canal St,60,NA
136S,Franklin St,137S,Chambers St,60,NA
216N,Freeman St,215N,174 St,120,NA
216S,Freeman St,217S,Simpson St,90,NA
M04N,Fresh Pond Rd,M05N,Forest Av,90,NA
M04S,Fresh Pond Rd,M01S,Middle Village-Metropolitan Av,120,NA
M22S,Fulton St,M23S,Broad St,90,NA
418N,Fulton St,640N,Brooklyn Bridge-City Hall,90,NA
A38N,Fulton St,A36N,Chambers St,120,NA
M22N,Fulton St,M21N,Chambers St,90,NA
G36N,Fulton St,G35N,Clinton-Washington Avs,90,NA
