from_stop_id,from_stop_name,to_stop_id,to_stop_name,min_travel_time_seconds,line
253S,Rockaway Av,254S,Junius St,60,NA
A50N,Rockaway Av,A49N,Ralph Av,90,NA
253N,Rockaway Av,252N,Saratoga Av,90,NA
A61S,Rockaway Blvd,A63S,104 St,90,NA
A61N,Rockaway Blvd,A60N,88 St,60,NA
A61S,Rockaway Blvd,H02S,Aqueduct-N Conduit Av,210,NA
H15N,Rockaway Park-Beach 116 St,H14N,Beach 105 St,120,NA
B06N,Roosevelt Island,B04N,21 St-Queensbridge,120,NA
B06S,Roosevelt Island,B08S,Lexington Av/63 St,150,NA
252S,Saratoga Av,253S,Rockaway Av,90,NA
252N,Saratoga Av,251N,Sutter Av-Rutland Rd,90,NA
M06S,Seneca Av,M05S,Forest Av,60,NA
M06N,Seneca Av,M08N,Myrtle-Wyckoff Avs,90,NA
D39S,Sheepshead Bay,D40S,Brighton Beach,120,NA
D39N,Sheepshead Bay,D35N,Kings Hwy,240,NA
D39N,Sheepshead Bay,D38N,Neck Rd,120,NA
A54S,Shepherd Av,A55S,Euclid Av,90,NA
A54N,Shepherd Av,A53N,Van Siclen Av,90,NA
217N,Simpson St,216N,Freeman St,90,NA
217S,Simpson St,218S,Intervale Av,60,NA
F22S,Smith-9 Sts,F23S,4 Av-9 St,90,NA
F22N,Smith-9 Sts,F21N,Carroll St,120,NA
142N,South Ferry,139N,Rector St,90,NA
638N,Spring St,637N,Bleecker St,60,NA
638S,Spring St,639S,Canal St,90,NA
A33S,Spring St,A34S,Canal St,90,NA
A33N,Spring St,A32N,W 4 St-Wash Sq,120,NA
S31S,St George,S19S,Great Kills,960,SIR
S31S,St George,S30S,Tompkinsville,180,SIR
609S,St Lawrence Av,610S,Morrison Av-Soundview,60,NA
609N,St Lawrence Av,608N,Parkchester,60,NA
S29S,Stapleton,S28S,Clifton,120,SIR
S29N,Stapleton,S30N,Tompkinsville,120,SIR
G19S,Steinway St,G20S,36 St,120,NA
G19N,Steinway St,G18N,46 St,90,NA
242N,Sterling St,241N,President St-Medgar Evers College,60,NA
242S,Sterling St,243S,Winthrop St,90,NA
F04S,Sutphin Blvd,F05S,Briarwood,120,NA
F04N,Sutphin Blvd,F03N,Parsons Blvd,60,NA
G06S,Sutphin Blvd-Archer Av-JFK Airport,J13S,111 St,300,NA
G06S,Sutphin Blvd-Archer Av-JFK Airport,J12S,121 St,240,NA
G06N,Sutphin Blvd-Archer Av-JFK Airport,G05N,Jamaica Center-Parsons/Archer,60,NA
G06S,Sutphin Blvd-Archer Av-JFK Airport,G07S,Jamaica-Van Wyck,120,NA
L25N,Sutter Av,L24N,Atlantic Av,90,NA
L25S,Sutter Av,L26S,Livonia Av,60,NA
251N,Sutter Av-Rutland Rd,250N,Crown Hts-Utica Av,150,NA
251S,Sutter Av-Rutland Rd,252S,Saratoga Av,90,NA
R16S,Times Sq-42 St,R17S,34 St-Herald Sq,90,NA
725S,Times Sq-42 St,726S,34 St-Hudson Yards,180,NA
127S,Times Sq-42 St,128S,34 St-Penn Station,60,NA
R16N,Times Sq-42 St,R15N,49 St,90,NA
725N,Times Sq-42 St,724N,5 Av,90,NA
127N,Times Sq-42 St,126N,50 St,90,NA
R16N,Times Sq-42 St,R14N,57 St-7 Av,150,NA
127N,Times Sq-42 St,123N,72 St,210,NA
902S,Times Sq-42 St,901S,Grand Central-42 St,90,NA
S30N,Tompkinsville,S31N,St George,180,SIR
S30S,Tompkinsville,S29S,Stapleton,120,SIR
S09N,Tottenville,S11N,Arthur Kill,180,SIR
D07S,Tremont Av,D13S,145 St,480,NA
D07S,Tremont Av,D08S,174-175 Sts,90,NA
D07N,Tremont Av,D06N,182-183 Sts,90,NA
D07N,Tremont Av,D05N,Fordham Rd,180,NA
R32S,Union St,R33S,4 Av-9 St,90,NA
R32N,Union St,R31N,Atlantic Av-Barclays Ctr,120,NA
A48S,Utica Av,A51S,Broadway Junction,180,NA
A48N,Utica Av,A47N,Kingston-Throop Avs,90,NA
A48N,Utica Av,A46N,Nostrand Av,150,NA
A48S,Utica Av,A49S,Ralph Av,120,NA
101S,Van Cortlandt Park-242 St,103S,238 St,90,NA
J23S,Van Siclen Av,J24S,Alabama Av,60,NA
J23N,Van Siclen Av,J22N,Cleveland St,90,NA
A53N,Van Siclen Av,A52N,Liberty Av,90,NA
256S,Van Siclen Av,257S,New Lots Av,60,NA
J23N,Van Siclen Av,J21N,Norwood Av,150,NA
256N,Van Siclen Av,255N,Pennsylvania Av,60,NA
A53S,Van Siclen Av,A54S,Shepherd Av,90,NA
721S,Vernon Blvd-Jackson Av,723S,Grand Central-42 St,270,NA
721N,Vernon Blvd-Jackson Av,720N,Hunters Point Av,30,NA
A32N,W 4 St-Wash Sq,A31N,14 St,120,NA
D20N,W 4 St-Wash Sq,D19N,14 St,90,NA
D20N,W 4 St-Wash Sq,D17N,34 St-Herald Sq,180,NA
D20S,W 4 St-Wash Sq,D21S,Broadway-Lafayette St,120,NA
A32S,W 4 St-Wash Sq,A34S,Canal St,150,NA
A32S,W 4 St-Wash Sq,A33S,Spring St,90,NA
D42S,W 8 St-NY Aquarium,D43S,Coney Island-Stillwell Av,90,NA
D42N,W 8 St-NY Aquarium,F39N,Neptune Av,90,NA
D42N,W 8 St-NY Aquarium,D41N,Ocean Pkwy,90,NA
138N,WTC Cortlandt,137N,Chambers St,60,NA
138S,WTC Cortlandt,139S,Rector St,90,NA
201S,Wakefield-241 St,204S,Nereid Av,90,NA
419S,Wall St,420S,Bowling Green,60,NA
230S,Wall St,231S,Clark St,270,NA
230N,Wall St,229N,Fulton St,60,NA
419N,Wall St,418N,Fulton St,60,NA
214S,West Farms Sq-E Tremont Av,215S,174 St,120,NA
214N,West Farms Sq-E Tremont Av,213N,E 180 St,90,NA
604N,Westchester Sq-E Tremont Av,603N,Middletown Rd,90,NA
604S,Westchester Sq-E Tremont Av,606S,Zerega Av,60,NA
R27S,Whitehall St-South Ferry,R28S,Court St,180,NA
R27N,Whitehall St-South Ferry,R26N,Rector St,90,NA
612N,Whitlock Av,611N,Elder Av,90,NA
612S,Whitlock Av,613S,Hunts Point Av,90,NA
L20S,Wilson Av,L21S,Bushwick Av-Aberdeen St,90,NA
L20N,Wilson Av,L19N,Halsey St,120,NA
243S,Winthrop St,244S,Church Av,90,NA
243N,Winthrop St,242N,Sterling St,90,NA
J15N,Woodhaven Blvd,J14N,104 St,90,NA
J15N,Woodhaven Blvd,J13N,111 St,180,NA
G11N,Woodhaven Blvd,G10N,63 Dr-Rego Park,60,NA
J15S,Woodhaven Blvd,J17S,75 St-Elderts Ln,180,NA
J15S,Woodhaven Blvd,J16S,85 St-Forest Pkwy,90,NA
G11S,Woodhaven Blvd,G12S,Grand Av-Newtown,90,NA
401S,Woodlawn,402S,Mosholu Pkwy,120,NA
E01N,World Trade Center,A34N,Canal St,120,NA
F18N,York St,F16N,East Broadway,150,NA
F18S,York St,A41S,Jay St-MetroTech,90,NA
606S,Zerega Av,607S,Castle Hill Av,60,NA
606N,Zerega Av,604N,Westchester Sq-E Tremont Av,60,NA
